[2024-06-01 19:10:27,426: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL Completed <<<<<<

x============x]
[2024-06-02 10:55:16,972: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 10:55:17,336: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 10:55:17,344: INFO: common: created directory at: artifacts]
[2024-06-02 10:55:17,350: INFO: common: created directory at: artifacts\training]
[2024-06-02 10:59:45,394: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 10:59:45,407: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 10:59:45,410: INFO: common: created directory at: artifacts]
[2024-06-02 10:59:45,412: INFO: common: created directory at: artifacts\training]
[2024-06-02 11:00:27,413: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 11:00:27,418: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 11:00:27,420: INFO: common: created directory at: artifacts]
[2024-06-02 11:00:27,423: INFO: common: created directory at: artifacts\training]
[2024-06-02 11:54:00,944: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-02 11:54:00,950: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 11:54:00,955: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 11:54:00,957: INFO: common: created directory at: artifacts]
[2024-06-02 11:54:00,958: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-02 11:54:00,959: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-02 11:54:26,645: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-02 11:54:34,946: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-02 11:54:34,947: INFO: main: ************************]
[2024-06-02 11:54:34,948: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL started <<<<<<]
[2024-06-02 11:54:34,959: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 11:54:34,968: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 11:54:34,970: INFO: common: created directory at: artifacts]
[2024-06-02 11:54:34,971: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-02 11:54:37,103: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-02 11:54:38,652: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL Completed <<<<<<

x============x]
[2024-06-02 11:54:38,656: INFO: main: *******************]
[2024-06-02 11:54:38,658: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-06-02 11:54:38,670: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 11:54:38,680: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 11:54:38,691: INFO: common: created directory at: artifacts]
[2024-06-02 11:54:38,695: INFO: common: created directory at: artifacts\training]
[2024-06-02 12:27:08,906: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-06-02 21:28:52,898: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 21:28:52,915: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 21:28:52,920: INFO: common: created directory at: artifacts]
[2024-06-02 21:33:00,064: INFO: common: json file saved at: scores.json]
[2024-06-02 21:33:05,342: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
[2024-06-02 21:33:06,887: INFO: builder_impl: Assets written to: C:\Users\shree\AppData\Local\Temp\tmp4feb3l7v\model\data\model\assets]
[2024-06-02 21:51:38,592: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 21:51:38,614: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 21:51:38,616: INFO: common: created directory at: artifacts]
[2024-06-02 21:56:49,803: INFO: common: json file saved at: scores.json]
[2024-06-02 21:56:54,767: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
[2024-06-02 21:56:55,890: INFO: builder_impl: Assets written to: C:\Users\shree\AppData\Local\Temp\tmp310kx_ve\model\data\model\assets]
[2024-06-02 22:14:47,163: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-02 22:14:47,173: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 22:14:47,174: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 22:14:47,174: INFO: common: created directory at: artifacts]
[2024-06-02 22:14:47,174: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-02 22:14:47,174: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-02 22:15:31,380: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-02 22:15:36,383: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-02 22:15:36,383: INFO: main: ************************]
[2024-06-02 22:15:36,383: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL started <<<<<<]
[2024-06-02 22:15:36,383: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 22:15:36,393: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 22:15:36,393: INFO: common: created directory at: artifacts]
[2024-06-02 22:15:36,396: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-02 22:15:37,483: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-02 22:15:38,351: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL Completed <<<<<<

x============x]
[2024-06-02 22:15:38,351: INFO: main: *******************]
[2024-06-02 22:15:38,351: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-06-02 22:15:38,354: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 22:15:38,356: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 22:15:38,357: INFO: common: created directory at: artifacts]
[2024-06-02 22:15:38,358: INFO: common: created directory at: artifacts\training]
[2024-06-02 22:45:01,148: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-06-02 22:45:01,148: INFO: main: *******************]
[2024-06-02 22:45:01,148: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-06-02 22:45:01,148: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 22:45:01,148: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 22:45:01,159: INFO: common: created directory at: artifacts]
[2024-06-02 22:49:13,735: INFO: common: json file saved at: scores.json]
[2024-06-02 22:49:13,737: INFO: common: json file saved at: scores.json]
[2024-06-02 22:49:13,738: INFO: main: >>>>>> stage Evaluation stage completed <<<<<<

x==========x]
[2024-06-03 21:51:55,675: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-03 21:51:55,746: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 21:51:55,807: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 21:51:55,814: INFO: common: created directory at: artifacts]
[2024-06-03 21:51:55,817: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-03 21:51:55,820: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-03 21:52:46,191: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-03 21:52:54,197: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-03 21:52:54,198: INFO: main: ************************]
[2024-06-03 21:52:54,198: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL started <<<<<<]
[2024-06-03 21:52:54,198: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 21:52:54,208: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 21:52:54,213: INFO: common: created directory at: artifacts]
[2024-06-03 21:52:54,215: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-03 21:52:55,628: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-03 21:52:57,805: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL Completed <<<<<<

x============x]
[2024-06-03 21:52:57,806: INFO: main: *******************]
[2024-06-03 21:52:57,806: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-06-03 21:52:57,812: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 21:52:57,824: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 21:52:57,825: INFO: common: created directory at: artifacts]
[2024-06-03 21:52:57,826: INFO: common: created directory at: artifacts\training]
[2024-06-03 22:30:00,835: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-06-03 22:30:00,835: INFO: main: *******************]
[2024-06-03 22:30:00,835: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-06-03 22:30:00,851: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 22:30:00,855: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 22:30:00,857: INFO: common: created directory at: artifacts]
[2024-06-03 22:34:09,032: INFO: common: json file saved at: scores.json]
[2024-06-03 22:34:09,048: INFO: common: json file saved at: scores.json]
[2024-06-03 22:34:09,048: INFO: main: >>>>>> stage Evaluation stage completed <<<<<<

x==========x]
[2024-06-03 22:37:11,215: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-03 22:37:11,230: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 22:37:11,244: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 22:37:11,245: INFO: common: created directory at: artifacts]
[2024-06-03 22:37:11,246: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-03 22:37:11,246: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-03 22:37:49,433: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-03 22:37:53,385: INFO: main: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-03 22:37:53,385: INFO: main: ************************]
[2024-06-03 22:37:53,385: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL started <<<<<<]
[2024-06-03 22:37:53,385: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 22:37:53,396: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 22:37:53,397: INFO: common: created directory at: artifacts]
[2024-06-03 22:37:53,397: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-03 22:37:54,169: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-03 22:37:54,531: INFO: main: >>>>>> Stage PREPARE_BASE_MODEL Completed <<<<<<

x============x]
[2024-06-03 22:37:54,531: INFO: main: *******************]
[2024-06-03 22:37:54,531: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-06-03 22:37:54,531: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 22:37:54,531: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 22:37:54,531: INFO: common: created directory at: artifacts]
[2024-06-03 22:37:54,542: INFO: common: created directory at: artifacts\training]
[2024-06-03 22:51:33,086: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-06-03 22:51:33,088: INFO: main: *******************]
[2024-06-03 22:51:33,089: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-06-03 22:51:33,091: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-03 22:51:33,099: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-03 22:51:33,100: INFO: common: created directory at: artifacts]
[2024-06-03 22:55:32,333: INFO: common: json file saved at: scores.json]
[2024-06-03 22:55:32,334: INFO: common: json file saved at: scores.json]
[2024-06-03 22:55:32,335: INFO: main: >>>>>> stage Evaluation stage completed <<<<<<

x==========x]
[2024-06-05 20:03:20,449: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-05 20:03:20,465: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:03:20,465: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:03:20,465: INFO: common: created directory at: artifacts]
[2024-06-05 20:03:20,479: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 20:03:20,480: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 20:03:48,572: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-05 20:03:56,220: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-05 20:09:03,348: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-05 20:09:03,348: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:09:03,366: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:09:03,367: INFO: common: created directory at: artifacts]
[2024-06-05 20:09:03,368: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 20:09:03,369: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 20:09:31,673: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-05 20:09:39,401: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-05 20:11:25,591: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-05 20:11:25,591: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:11:25,604: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:11:25,605: INFO: common: created directory at: artifacts]
