NetThrust_kN,CoreNozzleGrossThrust_kN,BypassNozzleGrossThrust_kN,Sp.FuelConsumption_g/(kN*s),SpecificThrust_m/s,CoreNozzleVel.V8_m/s,CoreNozzlePressureRatio,BypassNozzleVel.V18_m/s,BypassNozzlePressureRatio,BurnerEfficiency,EnginePressureRatioP5/P2,HPSpoolSpeed_RPM,LPSpoolSpeed_RPM,FuelFlow_kg/s,LPTExitPressureP5_kPA,LPTExitTemperatureT5_K,Isentr.HPCEfficiency
38.4672554079904,11.2175786339927,102.952769123032,14.3495405672162,120.587661197136,445.559446174912,1.66640351302522,308.277090509924,2.34240362180565,0.99953394095676,1.10399259007634,14944.8354190479,3261.91603194424,0.551987441986426,40.1345698682024,722.00894871207,0.861717434393081
44.2178558510494,13.5866090672143,108.449503350549,15.2719648762781,134.847057464207,512.66672277337,1.83854761828169,310.964933380393,2.42475952091852,0.999713398881997,1.21830522974188,14944.8354190479,3457.00224310897,0.675293541461552,44.2902939778704,810.585622375446,0.789250973623637
38.413089178244,11.1967537510771,102.89731046359,14.3420640013035,120.45305158338,444.968535495505,1.66496040519819,308.252516589476,2.34157282588619,0.999531782521245,1.10303236860265,14944.8354190479,3260.18261438598,0.550922983482155,40.0996619565269,721.251984880533,0.862491321892684
34.9054622908908,9.79876638609565,99.2854880218782,13.8988860090501,111.670620188202,407.283488941074,1.57033049371337,306.645195529796,2.28745771614073,0.999361933475661,1.03998655293536,14944.8354190479,3143.19484639985,0.485147041474288,37.8076930461,677.901509532811,0.911627875234153
38.7881021655636,11.340699842022,103.280789255901,14.3943120038534,121.384537737306,449.064097693336,1.67494706708061,308.422881350816,2.34731684562144,0.999546502129816,1.10967696320321,14944.8354190479,3272.18850336121,0.558328044608465,40.3412196885615,726.539703972845,0.857155727185988
34.6868316562409,9.71112906018693,99.0554753982432,13.8750712081601,111.119500883364,404.963862999791,1.56446109725197,306.546642747563,2.28401210121364,0.999349432446784,1.03607319622646,14944.8354190479,3135.86421084604,0.481282259215803,37.6654267938946,675.482265117596,0.914651693013739
36.8573754371529,10.5877551413445,101.300825170868,14.1371088262652,116.575631588371,428.128438052561,1.62321189976362,307.545088223094,2.31765504316322,0.999463774047653,1.07523963388047,14944.8354190479,3209.65697049881,0.521056727605545,39.08928429316,700.833675067069,0.884648632343712
38.9707360730652,11.4113401254738,103.466147888452,14.4203182365714,121.838204866643,451.092588831068,1.67991015696996,308.505717752595,2.35009506138803,0.999553486065934,1.11297736192893,14944.8354190479,3278.02128652363,0.561970416087033,40.4612024533384,729.170894833838,0.854575595782006
38.5204857950054,11.2380305998184,103.007249386203,14.3569126474575,120.71992168047,446.140351163647,1.66782129283689,308.301250972462,2.34321970667664,0.999536051395117,1.10493594181066,14944.8354190479,3263.61971432164,0.55303524969652,40.1688644970174,722.755189074725,0.860957775028124
39.8088552758037,11.7359460822601,104.311744901985,14.5422513366975,123.916382130591,460.408236322156,1.70275045335758,308.887735043354,2.3627609941626,0.999584072877218,1.12816474081783,14944.8354190479,3304.93685275657,0.578910378846953,41.0133247452906,741.426269109052,0.843002111519357
40.3316247487539,11.9419357385573,104.831199784267,14.6209619663168,125.210787547228,466.313322209943,1.71740547765559,309.12693999818,2.37054556100611,0.999602010727251,1.13790486864273,14944.8354190479,3321.86357935336,0.58968715149129,41.3674175573509,749.236001991489,0.83605855151214
39.1742704613432,11.4897484385885,103.672684307946,14.4495372934445,122.343321496439,453.342688812981,1.68540127731468,308.598318661041,2.35318904565155,0.999561144209163,1.11662935956642,14944.8354190479,3284.53814624675,0.566050081974658,40.5939672523576,732.119505139378,0.851713601949576
43.7710301694028,13.3842336522436,108.06353606514,15.1855611822147,133.727606411243,506.966018294225,1.82315351741337,310.744028297633,2.41897662477099,0.999701983044817,1.20810230702487,14944.8354190479,3440.01967086338,0.664687656646032,43.9193767105567,803.057888849896,0.794440776866207
39.1863494424134,11.4944059069693,103.684921377235,14.4512821121273,122.373289697955,453.476473368433,1.68572790292909,308.603818429248,2.35337238940173,0.999561594178141,1.11684657628904,14944.8354190479,3284.92516229534,0.566292990736719,40.6018639536661,732.295343054524,0.851544416677735
38.1133021458468,11.0807868454455,102.590743340093,14.301468753486,119.707153653237,441.68179268155,1.65689897100393,308.117020567692,2.33697889923068,0.999519579651333,1.09766921171155,14944.8354190479,3250.61308122232,0.545076199730997,39.9046896379669,717.103818837192,0.866780643607569
37.4929259623195,10.8403646239859,101.951936376471,14.2202792256017,118.1634748069,434.993128633657,1.6404092365679,307.836090855345,2.32740874026463,0.999492935016186,1.08669194662491,14944.8354190479,3230.6560170735,0.533159876168996,39.5056219118413,708.853402315879,0.875664656972733
38.6676324896703,11.2945116387604,103.157722603682,14.3774000270246,121.085433422936,447.74742726105,1.67173995767651,308.368092093534,2.34547374866575,0.999541831666938,1.10754320999585,14944.8354190479,3268.32975101286,0.555940020401962,40.2636491795274,724.829654178564,0.85886323536698
37.1721550288786,10.7135930921397,101.623011995334,14.1782246764158,117.3628228045,431.525541543733,1.63175743009491,307.689826773542,2.32248099982906,0.999478473481697,1.08093121243919,14944.8354190479,3220.14871758614,0.527035165705998,39.2961960599403,704.753195402543,0.880213642356795
39.5696755946866,11.6426385474073,104.071938505339,14.5070956324658,123.323815248669,457.735629326217,1.69615413408293,308.778550095265,2.35916953202438,0.999575604639031,1.12377947589614,14944.8354190479,3297.22954813564,0.574041067997767,40.85390273198,737.908674219496,0.846232644897104
